grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name,School_Name,State_Name,Lea_Name,size,lea_size,st_size
ALL,976,46.1,55.1,010324,ALL,ALL,ALL,2015,Eastern Alamance High,Alamance-Burlington School District,Alamance,,,,,,
ALL,976,46.1,55.1,010324,ALL,ALL,ALL,2014,Eastern Alamance High,Alamance-Burlington School District,Alamance,,,,,,
ALL,976,46.1,55.1,010324,ALL,ALL,ALL,2013,Eastern Alamance High,Alamance-Burlington School District,Alamance,,,,,,
ALL,723,28.1,35.7,010326,ALL,ALL,ALL,2017,Eastlawn Elementary,Alamance-Burlington School District,Alamance,Eastlawn Elementary,State Of North Carolina,Alamance-Burlington Schools,20.5,20.5,19.666666666666668
ALL,607,29.5,39.7,010326,ALL,ALL,ALL,2016,Eastlawn Elementary,Alamance-Burlington School District,Alamance,Eastlawn Elementary,State Of North Carolina,Alamance-Burlington Schools,19.833333333333332,19.5,19.5
ALL,520,25.8,35.8,010326,ALL,ALL,ALL,2015,Eastlawn Elementary,Alamance-Burlington School District,Alamance,Eastlawn Elementary,State Of North Carolina,Alamance-Burlington Schools,19.833333333333332,20.0,19.333333333333332
ALL,520,25.8,35.8,010326,ALL,ALL,ALL,2014,Eastlawn Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,520,25.8,35.8,010326,ALL,ALL,ALL,2013,Eastlawn Elementary,Alamance-Burlington School District,Alamance,Eastlawn Elementary,State Of North Carolina,Alamance-Burlington Schools,18.0,19.5,20.166666666666668
ALL,751,56.7,64.7,010328,ALL,ALL,ALL,2017,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance,Edwin M Holt Elementary,State Of North Carolina,Alamance-Burlington Schools,21.5,20.5,19.666666666666668
ALL,703,58.7,70.6,010328,ALL,ALL,ALL,2016,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance,Edwin M Holt Elementary,State Of North Carolina,Alamance-Burlington Schools,20.5,19.5,19.5
ALL,722,60.4,69.8,010328,ALL,ALL,ALL,2015,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance,Edwin M Holt Elementary,State Of North Carolina,Alamance-Burlington Schools,21.666666666666668,20.0,19.333333333333332
ALL,722,60.4,69.8,010328,ALL,ALL,ALL,2014,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,722,60.4,69.8,010328,ALL,ALL,ALL,2013,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance,Edwin M Holt Elementary,State Of North Carolina,Alamance-Burlington Schools,21.5,19.5,20.166666666666668
ALL,838,44.9,55.6,010340,ALL,ALL,ALL,2017,Elon Elementary,Alamance-Burlington School District,Alamance,Elon Elementary,State Of North Carolina,Alamance-Burlington Schools,21.333333333333332,20.5,19.666666666666668
ALL,896,46.8,58.3,010340,ALL,ALL,ALL,2016,Elon Elementary,Alamance-Burlington School District,Alamance,Elon Elementary,State Of North Carolina,Alamance-Burlington Schools,21.666666666666668,19.5,19.5
ALL,816,50.5,59.3,010340,ALL,ALL,ALL,2015,Elon Elementary,Alamance-Burlington School District,Alamance,Elon Elementary,State Of North Carolina,Alamance-Burlington Schools,22.0,20.0,19.333333333333332
ALL,816,50.5,59.3,010340,ALL,ALL,ALL,2014,Elon Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,816,50.5,59.3,010340,ALL,ALL,ALL,2013,Elon Elementary,Alamance-Burlington School District,Alamance,Elon Elementary,State Of North Carolina,Alamance-Burlington Schools,21.833333333333332,19.5,20.166666666666668
ALL,441,32.7,44.0,010346,ALL,ALL,ALL,2017,B Everett Jordan Elem,Alamance-Burlington School District,Alamance,B Everett Jordan Elem,State Of North Carolina,Alamance-Burlington Schools,18.5,20.5,19.666666666666668
ALL,416,40.9,53.1,010346,ALL,ALL,ALL,2016,B Everett Jordan Elem,Alamance-Burlington School District,Alamance,B Everett Jordan Elem,State Of North Carolina,Alamance-Burlington Schools,19.333333333333332,19.5,19.5
ALL,458,43.4,56.6,010346,ALL,ALL,ALL,2015,B Everett Jordan Elem,Alamance-Burlington School District,Alamance,B Everett Jordan Elem,State Of North Carolina,Alamance-Burlington Schools,18.333333333333332,20.0,19.333333333333332
ALL,458,43.4,56.6,010346,ALL,ALL,ALL,2014,B Everett Jordan Elem,Alamance-Burlington School District,Alamance,,,,,,
ALL,458,43.4,56.6,010346,ALL,ALL,ALL,2013,B Everett Jordan Elem,Alamance-Burlington School District,Alamance,B Everett Jordan Elem,State Of North Carolina,Alamance-Burlington Schools,16.666666666666668,19.5,20.166666666666668
ALL,803,42.7,54.3,010347,ALL,ALL,ALL,2017,Garrett Elementary,Alamance-Burlington School District,Alamance,Garrett Elementary,State Of North Carolina,Alamance-Burlington Schools,20.5,20.5,19.666666666666668
ALL,858,42.9,53.0,010347,ALL,ALL,ALL,2016,Garrett Elementary,Alamance-Burlington School District,Alamance,Garrett Elementary,State Of North Carolina,Alamance-Burlington Schools,21.0,19.5,19.5
ALL,808,47.6,58.5,010347,ALL,ALL,ALL,2015,Garrett Elementary,Alamance-Burlington School District,Alamance,Garrett Elementary,State Of North Carolina,Alamance-Burlington Schools,22.166666666666668,20.0,19.333333333333332
ALL,808,47.6,58.5,010347,ALL,ALL,ALL,2014,Garrett Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,808,47.6,58.5,010347,ALL,ALL,ALL,2013,Garrett Elementary,Alamance-Burlington School District,Alamance,Garrett Elementary,State Of North Carolina,Alamance-Burlington Schools,19.5,19.5,20.166666666666668
ALL,590,22.9,31.0,010348,ALL,ALL,ALL,2017,Graham High,Alamance-Burlington School District,Alamance,Graham High,State Of North Carolina,Alamance-Burlington Schools,21.5,23.75,19.75
ALL,575,25.9,34.8,010348,ALL,ALL,ALL,2016,Graham High,Alamance-Burlington School District,Alamance,,,,,,
ALL,688,25.9,34.4,010348,ALL,ALL,ALL,2015,Graham High,Alamance-Burlington School District,Alamance,,,,,,
ALL,688,25.9,34.4,010348,ALL,ALL,ALL,2014,Graham High,Alamance-Burlington School District,Alamance,,,,,,
ALL,688,25.9,34.4,010348,ALL,ALL,ALL,2013,Graham High,Alamance-Burlington School District,Alamance,,,,,,
ALL,1474,28.8,36.4,010350,ALL,ALL,ALL,2017,Graham Middle,Alamance-Burlington School District,Alamance,Graham Middle,State Of North Carolina,Alamance-Burlington Schools,19.666666666666668,23.666666666666668,21.666666666666668
ALL,1485,27.9,35.8,010350,ALL,ALL,ALL,2016,Graham Middle,Alamance-Burlington School District,Alamance,Graham Middle,State Of North Carolina,Alamance-Burlington Schools,16.666666666666668,22.0,21.333333333333332
ALL,1486,27.0,34.5,010350,ALL,ALL,ALL,2015,Graham Middle,Alamance-Burlington School District,Alamance,Graham Middle,State Of North Carolina,Alamance-Burlington Schools,21.333333333333332,24.666666666666668,22.0
ALL,1486,27.0,34.5,010350,ALL,ALL,ALL,2014,Graham Middle,Alamance-Burlington School District,Alamance,,,,,,
ALL,1486,27.0,34.5,010350,ALL,ALL,ALL,2013,Graham Middle,Alamance-Burlington School District,Alamance,Graham Middle,State Of North Carolina,Alamance-Burlington Schools,18.333333333333332,21.333333333333332,21.666666666666668
ALL,555,30.5,39.8,010351,ALL,ALL,ALL,2017,Grove Park Elementary,Alamance-Burlington School District,Alamance,Grove Park Elementary,State Of North Carolina,Alamance-Burlington Schools,19.0,20.5,19.666666666666668
ALL,534,35.0,45.5,010351,ALL,ALL,ALL,2016,Grove Park Elementary,Alamance-Burlington School District,Alamance,Grove Park Elementary,State Of North Carolina,Alamance-Burlington Schools,21.833333333333332,19.5,19.5
ALL,734,27.2,36.4,010351,ALL,ALL,ALL,2015,Grove Park Elementary,Alamance-Burlington School District,Alamance,Grove Park Elementary,State Of North Carolina,Alamance-Burlington Schools,24.0,20.0,19.333333333333332
ALL,734,27.2,36.4,010351,ALL,ALL,ALL,2014,Grove Park Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,734,27.2,36.4,010351,ALL,ALL,ALL,2013,Grove Park Elementary,Alamance-Burlington School District,Alamance,Grove Park Elementary,State Of North Carolina,Alamance-Burlington Schools,20.666666666666668,19.5,20.166666666666668
ALL,1565,57.4,65.9,010353,ALL,ALL,ALL,2017,Hawfields Middle,Alamance-Burlington School District,Alamance,Hawfields Middle,State Of North Carolina,Alamance-Burlington Schools,25.333333333333332,23.666666666666668,21.666666666666668
ALL,1521,55.9,65.3,010353,ALL,ALL,ALL,2016,Hawfields Middle,Alamance-Burlington School District,Alamance,Hawfields Middle,State Of North Carolina,Alamance-Burlington Schools,24.333333333333332,22.0,21.333333333333332
ALL,1534,53.9,62.3,010353,ALL,ALL,ALL,2015,Hawfields Middle,Alamance-Burlington School District,Alamance,Hawfields Middle,State Of North Carolina,Alamance-Burlington Schools,27.333333333333332,24.666666666666668,22.0
ALL,1534,53.9,62.3,010353,ALL,ALL,ALL,2014,Hawfields Middle,Alamance-Burlington School District,Alamance,,,,,,
ALL,1534,53.9,62.3,010353,ALL,ALL,ALL,2013,Hawfields Middle,Alamance-Burlington School District,Alamance,Hawfields Middle,State Of North Carolina,Alamance-Burlington Schools,21.0,21.333333333333332,21.666666666666668
ALL,774,25.2,33.9,010354,ALL,ALL,ALL,2017,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance,Harvey R Newlin Elementary,State Of North Carolina,Alamance-Burlington Schools,23.0,20.5,19.666666666666668
ALL,687,22.4,30.7,010354,ALL,ALL,ALL,2016,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance,Harvey R Newlin Elementary,State Of North Carolina,Alamance-Burlington Schools,20.0,19.5,19.5
ALL,604,23.2,32.0,010354,ALL,ALL,ALL,2015,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance,Harvey R Newlin Elementary,State Of North Carolina,Alamance-Burlington Schools,21.5,20.0,19.333333333333332
