grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,758,48,60.2,10328,ALL,ALL,ALL,2014,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance
ALL,721,51.2,63.2,10328,ALL,ALL,ALL,2013,Edwin M Holt Elementary,Alamance-Burlington School District,Alamance
ALL,838,44.9,55.6,10340,ALL,ALL,ALL,2017,Elon Elementary,Alamance-Burlington School District,Alamance
ALL,896,46.8,58.3,10340,ALL,ALL,ALL,2016,Elon Elementary,Alamance-Burlington School District,Alamance
ALL,816,50.5,59.3,10340,ALL,ALL,ALL,2015,Elon Elementary,Alamance-Burlington School District,Alamance
ALL,820,45.4,54.8,10340,ALL,ALL,ALL,2014,Elon Elementary,Alamance-Burlington School District,Alamance
ALL,748,50,61.6,10340,ALL,ALL,ALL,2013,Elon Elementary,Alamance-Burlington School District,Alamance
ALL,441,32.7,44,10346,ALL,ALL,ALL,2017,B Everett Jordan Elem,Alamance-Burlington School District,Alamance
ALL,416,40.9,53.1,10346,ALL,ALL,ALL,2016,B Everett Jordan Elem,Alamance-Burlington School District,Alamance
ALL,458,43.4,56.6,10346,ALL,ALL,ALL,2015,B Everett Jordan Elem,Alamance-Burlington School District,Alamance
ALL,476,40.3,54,10346,ALL,ALL,ALL,2014,B Everett Jordan Elem,Alamance-Burlington School District,Alamance
ALL,478,37.4,47.3,10346,ALL,ALL,ALL,2013,B Everett Jordan Elem,Alamance-Burlington School District,Alamance
ALL,803,42.7,54.3,10347,ALL,ALL,ALL,2017,Garrett Elementary,Alamance-Burlington School District,Alamance
ALL,858,42.9,53,10347,ALL,ALL,ALL,2016,Garrett Elementary,Alamance-Burlington School District,Alamance
ALL,808,47.6,58.5,10347,ALL,ALL,ALL,2015,Garrett Elementary,Alamance-Burlington School District,Alamance
ALL,762,48.8,60.6,10347,ALL,ALL,ALL,2014,Garrett Elementary,Alamance-Burlington School District,Alamance
ALL,795,46.2,57.1,10347,ALL,ALL,ALL,2013,Garrett Elementary,Alamance-Burlington School District,Alamance
ALL,590,22.9,31,10348,ALL,ALL,ALL,2017,Graham High,Alamance-Burlington School District,Alamance
ALL,575,25.9,34.8,10348,ALL,ALL,ALL,2016,Graham High,Alamance-Burlington School District,Alamance
ALL,688,25.9,34.4,10348,ALL,ALL,ALL,2015,Graham High,Alamance-Burlington School District,Alamance
ALL,741,21.5,31.2,10348,ALL,ALL,ALL,2014,Graham High,Alamance-Burlington School District,Alamance
ALL,695,25.9,34.2,10348,ALL,ALL,ALL,2013,Graham High,Alamance-Burlington School District,Alamance
ALL,1474,28.8,36.4,10350,ALL,ALL,ALL,2017,Graham Middle,Alamance-Burlington School District,Alamance
ALL,1485,27.9,35.8,10350,ALL,ALL,ALL,2016,Graham Middle,Alamance-Burlington School District,Alamance
ALL,1486,27,34.5,10350,ALL,ALL,ALL,2015,Graham Middle,Alamance-Burlington School District,Alamance
ALL,1597,25.4,33.4,10350,ALL,ALL,ALL,2014,Graham Middle,Alamance-Burlington School District,Alamance
ALL,1584,24.3,32.5,10350,ALL,ALL,ALL,2013,Graham Middle,Alamance-Burlington School District,Alamance
ALL,555,30.5,39.8,10351,ALL,ALL,ALL,2017,Grove Park Elementary,Alamance-Burlington School District,Alamance
ALL,534,35,45.5,10351,ALL,ALL,ALL,2016,Grove Park Elementary,Alamance-Burlington School District,Alamance
ALL,734,27.2,36.4,10351,ALL,ALL,ALL,2015,Grove Park Elementary,Alamance-Burlington School District,Alamance
ALL,632,24.2,34.8,10351,ALL,ALL,ALL,2014,Grove Park Elementary,Alamance-Burlington School District,Alamance
ALL,632,29.4,38.8,10351,ALL,ALL,ALL,2013,Grove Park Elementary,Alamance-Burlington School District,Alamance
ALL,1565,57.4,65.9,10353,ALL,ALL,ALL,2017,Hawfields Middle,Alamance-Burlington School District,Alamance
ALL,1521,55.9,65.3,10353,ALL,ALL,ALL,2016,Hawfields Middle,Alamance-Burlington School District,Alamance
ALL,1534,53.9,62.3,10353,ALL,ALL,ALL,2015,Hawfields Middle,Alamance-Burlington School District,Alamance
ALL,1615,44.8,54.1,10353,ALL,ALL,ALL,2014,Hawfields Middle,Alamance-Burlington School District,Alamance
ALL,1731,44.5,53.4,10353,ALL,ALL,ALL,2013,Hawfields Middle,Alamance-Burlington School District,Alamance
ALL,774,25.2,33.9,10354,ALL,ALL,ALL,2017,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance
ALL,687,22.4,30.7,10354,ALL,ALL,ALL,2016,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance
ALL,604,23.2,32,10354,ALL,ALL,ALL,2015,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance
ALL,732,19.4,28.8,10354,ALL,ALL,ALL,2014,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance
ALL,762,16.8,26.6,10354,ALL,ALL,ALL,2013,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance
ALL,667,24,32.5,10357,ALL,ALL,ALL,2017,Haw River Elementary,Alamance-Burlington School District,Alamance
ALL,627,22.2,31.6,10357,ALL,ALL,ALL,2016,Haw River Elementary,Alamance-Burlington School District,Alamance
ALL,592,20.8,31.1,10357,ALL,ALL,ALL,2015,Haw River Elementary,Alamance-Burlington School District,Alamance
ALL,560,23.9,32.3,10357,ALL,ALL,ALL,2014,Haw River Elementary,Alamance-Burlington School District,Alamance
ALL,509,23.2,33,10357,ALL,ALL,ALL,2013,Haw River Elementary,Alamance-Burlington School District,Alamance
ALL,769,19.4,26.8,10358,ALL,ALL,ALL,2017,Hillcrest Elementary,Alamance-Burlington School District,Alamance
ALL,719,21.6,29.8,10358,ALL,ALL,ALL,2016,Hillcrest Elementary,Alamance-Burlington School District,Alamance
ALL,628,28,40.6,10358,ALL,ALL,ALL,2015,Hillcrest Elementary,Alamance-Burlington School District,Alamance
ALL,539,30.8,41.7,10358,ALL,ALL,ALL,2014,Hillcrest Elementary,Alamance-Burlington School District,Alamance
ALL,554,33.8,44.2,10358,ALL,ALL,ALL,2013,Hillcrest Elementary,Alamance-Burlington School District,Alamance
