district_name	City 	County name
Lake Lure Classical Academy School District 	Lake Lure 	Rutherford
Lake Norman Charter School District 	Huntersville 	Mecklenburg
Langtree Charter Academyschool District 	Mooresville 	Iredell
Lee County School District 	Sanford 	Lee
Lenoir County Public School District 	Kinston 	Lenoir
Lexington City School District 	Lexington 	Davidson
Lincoln Charter School District 	Denver 	Lincoln
Lincoln County School District 	Lincolnton 	Lincoln
Longleaf School Of The Arts 	Raleigh 	Wake
Macon County School District 	Franklin 	Macon
Madison County School District 	Marshall 	Madison
Magellan Charter School District 	Raleigh 	Wake
Martin County School District 	Williamston 	Martin
Maureen Joy Charter School District 	Durham 	Durham
Mcdowell County School District 	Marion 	Mcdowell
Metrolina Regional Scholars Academy School District 	Charlotte 	Mecklenburg
Millennium Charter Academy School District 	Mount Airy 	Surry
Mitchell County School District 	Bakersville 	Mitchell
Montgomery County School District 	Troy 	Montgomery
Moore County School District 	Carthage 	Moore
Mooresville Graded School District 	Mooresville 	Iredell
Mount Airy City School District 	Mount Airy 	Surry
Mountain Discovery Charter School District 	Bryson City 	Swain
Mountain Island Charter School District 	Mt. Holly 	Gaston
Nash-Rocky Mount School District 	Nashville 	Nash
Nc Health And Human Services School District 	Raleigh 	Wake
Nc Virtual Public School District 	Raleigh 	Wake
Neuse Charter School District 	Smithfield 	Johnston
New Hanover County School District 	Wilmington 	New Hanover
Newton-Conover City School District 	Newton 	Catawba
North East Carolina Preparatory School District 	Tarboro 	Edgecombe
Northampton County School District 	Jackson 	Northampton
Northeast Regional School - Biotech&Agri School District 	Plymouth 	Washington
Onslow County School District 	Jacksonville 	Onslow
Orange Charter School District 	Hillsborough 	Orange
Orange County School District 	Hillsborough 	Orange
Oxford Preparatory High School District 	Oxford 	Granville
Pace Academy School District 	Carrboro 	Orange
Pamlico County School District 	Bayboro 	Pamlico
Paul R. Brown Leadership Academy School District 	Elizabethtown 	Bladen
Pender County School District 	Burgaw 	Pender
Perquimans County School District 	Hertford 	Perquimans
Person County School District 	Roxboro 	Person
Phoenix Academy Inc School District 	High Point 	Guilford
Piedmont Community Charter School District 	Gastonia 	Gaston
Pine Lake Preparatory School District 	Mooresville 	Iredell
Pinnacle Classical Academy School District 	Shelby 	Cleveland
Pioneer Springs Community School District 	Charlotte 	Mecklenburg
Pitt County School District 	Greenville 	Pitt
Polk County School District 	Columbus 	Polk
Preeminent Charter School District 	Raleigh 	Wake
Public School District Of Robeson County 	Lumberton 	Robeson
Quality Education Academy School District 	Winston-Salem 	Forsyth
Queens Grant Community School District 	Mint Hill 	Mecklenburg
Quest Academy School District 	Raleigh 	Wake
Raleigh Charter High School District 	Raleigh 	Wake
Randolph County School District 	Asheboro 	Randolph
Reaching All Minds Academy School District 	Durham 	Durham
Research Triangle Charter School District 	Durham 	Durham
Research Triangle High School District 	Research Triangle Pk 	Durham
Richmond County School District 	Hamlet 	Richmond
River Mill Academy School District 	Graham 	Alamance
Roanoke Rapids City School District 	Roanoke Rapids 	Halifax
Rockingham County School District 	Eden 	Rockingham
Rocky Mount Preparatory School District 	Rocky Mount 	Nash
Rowan-Salisbury School District 	Salisbury 	Rowan
Roxboro Community School District 	Roxboro 	Person
Rutherford County School District 	Forest City 	Rutherford
Sallie B Howard School District 	Wilson 	Wilson
