school_code	grade_span	school_name
111304	0K-05	Hall Fletcher Elementary
111306	0K-05	Isaac Dickson Elementary
111312	0K-05	Claxton Elementary
111332	0K-05	Ira B Jones Elementary
111356	06-08	Asheville Middle
111360	0K-05	Vance Elementary
111700	09-12	School of Inquiry and Life Sciences
111LEA		Asheville City Schools
11A000	0K-08	Evergreen Community Charter
11B000	0K-08	ArtSpace Charter
11K000	0K-08	Francine Delany New School
120304	PK-05	Chesterfield Elementary
120308	06-12	Hallyburton Academy
120312	PK-05	Drexel Elementary
120314	09-12	East Burke High
120315	06-08	East Burke Middle
120316	PK-05	Forest Hill Elementary
120318	09-12	Freedom High
120320	PK-05	George Hildebrand Elementary
120324	PK-05	Glen Alpine Elementary
120334	06-08	Heritage Middle
120338	PK-05	Hildebran Elementary
120340	PK-05	Mountain Crest Elementary
120344	PK-05	Icard Elementary
120346	09-12	Jimmy C Draughn High School
120350	06-08	Liberty Middle
120352	SP-ED	North Liberty
120360	PK-05	Mull Elementary
120364	PK-05	Oak Hill Elementary
120368	PK-05	Ray Childers Elementary
120370	09-12	Robert L. Patton High School
120372	PK-05	Rutherford College Elem
120374	PK-05	Salem Elementary
120376	06-08	Table Rock Middle
120380	PK-05	Valdese Elementary
120386	PK-05	W A Young Elementary
120390	06-08	Walter R Johnson Middle
120LEA		Burke County Schools
12A000	0K-07	New Dimensions
130304	0K-05	A T Allen Elementary
130307	09-12	Cox Mill High School
130308	0K-05	Bethel Elementary
130309	0K-05	Beverly Hills Elementary
130310	09-12	Central Cabarrus High
130311	PK-05	Coltrane-Webb Elementary
130312	0K-05	Harrisburg Elementary
130313	06-08	Concord Middle
130314	09-12	Concord High
130315	06-08	J N Fries Magnet School
130316	09-12	Jay M Robinson High
130317	06-12	Cabarrus Co Opportunity Sch
130318	06-08	C C Griffin Middle
130319	0K-05	Cox Mill Elementary
130320	06-08	Harris Road Middle
130321	0K-05	Carl A Furr Elementary
130322	0K-05	Mount Pleasant Elementary
130323	06-08	Mount Pleasant Middle
130324	09-12	Mount Pleasant High
130325	0K-05	Charles E Boger Elementary
130326	09-12	Northwest Cabarrus High
130327	06-08	Northwest Cabarrus Middle
130328	0K-05	Royal Oaks Elementary
130329	0K-05	Rocky River Elementary
130330	0K-05	R Brown McAllister Elementary
130331	0K-05	Pitts School Road Elementary
130332	09-12	Hickory Ridge High
130333	09-12	Performance Learning Center
130336	0K-05	W R Odell Elementary
130338	0K-05	Weddington Hills Elementary
130340	0K-05	Winecoff Elementary
130342	PK-05	W M Irvin Elementary
130344	0K-05	Wolf Meadow Elementary
130345	0K-05	Patriots Elementary
130346	06-08	Hickory Ridge Middle
130350	09-13	Cabarrus-Kannapolis Early Coll
130355	06-08	Harold E. Winkler Middle
130LEA		Cabarrus County Schools
132304	09-12	A L Brown High
132308	0K-04	Forest Park Elementary
132312	PK-04	Fred L Wilson Elementary
132328	0K-04	Jackson Park Elementary
132329	05-06	Kannapolis Interm
132330	07-08	Kannapolis Middle
132332	0K-04	Shady Brook Elementary
132336	PK-04	Woodrow Wilson Elementary
132LEA		Kannapolis City Schools
13A000	0K-10	Carolina International School
140304	0K-05	Baton Elementary
140305	09-12	Caldwell Career Cen Mid. Coll.
140306	06-12	Caldwell Co Gateway Sch
140307	0K-05	Horizons Elementary
140308	0K-08	Collettsville School
140309	09-13	Caldwell Early College
140312	0K-05	Davenport A+ School
140316	PK-05	Dudley Shoals Elementary
140324	PK-05	Gamewell Elementary
140332	06-08	Gamewell Middle
140336	06-08	Granite Falls Middle
140340	0K-05	Granite Falls Elementary
140344	0K-08	Happy Valley Elementary
140348	09-12	Hibriten High
140352	PK-05	Hudson Elementary
140356	06-08	Hudson Middle
140360	PK-08	Kings Creek Elementary
140368	06-08	William Lenoir Middle
140372	0K-05	Lower Creek Elementary
140376	0K-08	Oak Hill Elementary
140384	0K-05	Sawmills Elementary
140386	09-12	South Caldwell High
140388	PK-05	Valmead Elementary
140390	09-12	West Caldwell High
140392	0K-05	West Lenoir Elementary
140396	PK-05	Whitnel Elementary
140LEA		Caldwell County Schools
150304	09-12	Camden County High
150308	0K-03	Grandy Primary
150310	04-06	Camden Intermediate
150312	07-08	Camden Middle
150700	09-12	CamTech High
150LEA		Camden County Schools
160304	PK-08	Atlantic Elementary
160306	PK-05	Bogue Sound Elementary
160308	PK-05	Beaufort Elementary
160310	06-08	Beaufort Middle
160311	06-08	Broad Creek Middle
160313	06-12	East Carteret High
160314	09-12	Croatan High
160316	0K-08	Harkers Island Elementary
160317	04-05	Morehead Elem at Camp Glenn
160318	06-08	Morehead City Middle
160322	PK-06	Morehead City Primary
160324	PK-05	Newport Elementary
160326	06-08	Newport Middle
160332	PK-08	Smyrna Elementary
160344	09-12	West Carteret High
160352	PK-05	White Oak Elementary
160LEA		Carteret County Public Schools
16A000	09-12	Cape Lookout Marine Sci High
16B000	0K-05	Tiller School
170316	09-12	Bartlett Yancey High
170334	PK-05	North Elementary
170338	06-08	N L Dillard Middle
170339	PK-05	Oakwood Elementary
170342	PK-05	South Elementary
170344	0K-05	Stoney Creek Elementary
170LEA		Caswell County Schools
180302	07-08	Harry M Arndt Middle
180304	PK-06	Balls Creek Elementary
180308	09-12	Bandys High
180312	0K-06	Banoak Elementary
180316	0K-06	Blackburn Elementary
180320	09-12	Bunker Hill High
180323	05-12	Catawba Rosenwald Education Center
180324	PK-06	Catawba Elementary School
180325	09-13	Challenger Early College High
180326	0K-06	Charles H Tuttle Elementary
180332	PK-06	Claremont Elementary
180336	0K-06	Clyde Campbell Elementary
180340	09-12	Fred T Foard High
