school_code	grade_span	school_name
340403	0K-05	Jefferson Elementary
340406	06-08	Jefferson Middle
340416	0K-05	Kernersville Elementary
340420	06-08	Kernersville Middle
340424	PK-05	Kimberley Park Elementary
340426	0K-05	Kimmel Farm Elementary
340427	0K-12	Kingswood School
340428	PK-05	Konnoak Elementary
340430	PK-05	Diggs-Latham Elementary
340432	0K-05	Lewisville Elementary
340436	SP-ED	Lowrance Middle
340440	0K-05	Meadowlark Elementary
340442	06-08	Meadowlark Middle
340446	11-12	Middle College of Forsyth Cnty
340447	0K-05	Middle Fork Elementary
340448	0K-05	Mineral Springs Elementary
340452	06-08	Mineral Springs Middle
340453	0K-05	Moore Elementary
340454	09-12	Mount Tabor High
340457	0K-05	Frank Morgan Elementary
340460	09-12	North Forsyth High
340462	PK-05	North Hills Elementary
340464	06-08	Northwest Middle
340472	0K-05	Old Richmond Elementary
340476	PK-05	Old Town Elementary
340480	06-10	Paisley IB Magnet
340486	09-12	Parkland High
340488	06-11	J. F. Kennedy High
340490	PK-05	Petree Elementary
340492	06-08	Philo-Hill Magnet Academy
340494	0K-05	Piney Grove Elementary
340495	09-12	Reagan High
340496	09-12	Reynolds High
340504	0K-05	Rural Hall Elementary
340508	0K-05	Sedge Garden Elementary
340512	0K-05	Sherwood Forest Elementary
340516	06-08	Southeast Middle
340520	PK-05	South Fork Elementary
340528	0K-05	Southwest Elementary
340530	PK-05	Speas Elementary
340531	0K-05	The Special Children's School
340532	0K-05	Union Cross Elementary
340536	0K-05	Vienna Elementary
340540	PK-05	Walkertown Elementary
340542	09-11	Walkertown High
340544	06-08	Walkertown Middle
340548	0K-05	Ward Elementary
340556	09-12	West Forsyth High
340560	0K-05	Whitaker Elementary
340564	06-08	Wiley Middle
340568	06-12	Winston-Salem Preparatory Acad
340LEA		Forsyth County Schools
34B000	0K-12	Quality Education Academy
34C000	05-08	The STEAM Academy of Winston Salem
34D000	0K-12	Carter G Woodson School
34F000	0K-08	Forsyth Academy
34G000	0K-06	The Arts Based School
350304	0K-05	Bunn Elementary
350308	09-12	Bunn High
350310	06-08	Bunn Middle
350312	06-08	Cedar Creek Middle
350316	PK-05	Edward Best Elementary
350317	09-13	Franklin County Early College
350318	PK-05	Franklinton Elementary
350321	09-12	Franklinton High
350330	PK-05	Laurel Mill Elementary
350331	PK-05	Long Mill Elementary
350332	PK-05	Louisburg Elementary
350336	09-12	Louisburg High
350338	06-08	Terrell Lane Middle
350339	PK-05	Royal Elementary
350340	0K-05	Youngsville Elementary
350LEA		Franklin County Schools
35A000	0K-08	Crosscreek Charter School
360310	09-12	Ashbrook High
360320	02-05	Belmont Central Elementary
360324	06-08	Belmont Middle
360332	03-05	Bessemer City Central Elem
360336	09-12	Bessemer City High
360337	09-13	Gaston Early College High School
360339	04-05	Blaine Beam Intermediate
360340	PK-05	Brookside Elementary
360344	PK-05	Carr Elementary
360348	PK-05	Catawba Heights Elementary
360352	PK-05	Chapel Grove Elementary
360360	09-12	Cherryville High
360364	PK-03	Cherryville Elementary
360372	06-12	Warlick Academy
360376	PK-05	Costner Elementary
360380	06-08	Cramerton Middle
360390	09-12	East Gaston High
360392	PK-05	Sadler Elementary
360394	SP-ED	Webb St
360396	09-12	Forestview High
360400	PK-05	Gardner Park Elementary
360408	06-08	Grier Middle
360416	04-05	Hawks Nest Intermediate
360418	09-12	Highland Sch of Technology
360426	06-08	Holbrook Middle
360428	09-12	Hunter Huss High
360431	06-08	Chavis Middle
360432	03-05	Kiser Elementary
360436	06-08	Bessemer City Middle
360438	PK-05	Lingerfeldt Elementary
360440	0K-05	Lowell Elementary
360448	0K-05	McAdenville Elementary
360456	06-08	Mount Holly Middle
360460	PK-05	Forest Heights Elementary
360464	0K-05	New Hope Elementary
360468	PK-05	North Belmont Elementary
360470	09-12	North Gaston High
360478	PK-05	Pinewood Elementary
360480	PK-05	Pleasant Ridge Elementary
360482	PK-05	Rankin Elementary
360484	PK-05	Rhyne Elementary
360488	PK-03	Robinson Elementary
360490	PK-05	Sherwood Elementary
360492	PK-05	H H Beam Elementary
360494	09-12	South Point High
360498	06-08	Southwest Middle
360500	06-08	Stanley Middle
360504	PK-05	Tryon Elementary
360510	0K-05	Bess Elementary
360514	06-08	Friday Middle
360520	PK-05	Woodhill Elementary
360526	06-08	York Chester Middle
360LEA		Gaston County Schools
36B000	0K-12	Piedmont Community Charter School, CFA
36C000	0K-09	Mountain Island Charter
370304	PK-05	Buckland Elementary
370308	06-08	Central Middle
370312	09-12	Gates County Senior High
370316	PK-05	Gatesville Elementary
370324	0K-05	T S Cooper Elementary
370LEA		Gates County Schools
380306	PK-06	Robbinsville Elementary
380308	PK-12	Robbinsville High
380310	07-08	Robbinsville Middle
380LEA		Graham County Schools
390309	06-08	Butner-Stem Middle
390311	PK-05	Butner-Stem Elementary
390312	PK-05	C. G. Credle Elementary
390314	0K-12	Center For Innovative Learning
390316	PK-05	Creedmoor Elementary
390320	06-08	G. C. Hawley Middle
390322	09-12	Granville Central High
390323	09-13	Granville Early College High
390324	09-12	J. F. Webb High
390331	06-08	Mary Potter Middle
390333	PK-05	Mount Energy Elementary
390334	06-08	Northern Granville Middle
390336	PK-05	Joe Toler-Oak Hill Elementary
390360	PK-05	Stovall-Shaw Elementary
390362	PK-05	Tar River Elementary
390364	PK-05	West Oxford Elementary
390368	PK-05	Wilton Elementary
390700	09-12	JF Webb High School Of Health And Life S
390704	09-12	S Granville High of Health Sci
390705	09-12	S Granville HS of Integ Tech & Lead
390LEA		Granville County Schools
400308	09-12	Greene Central High
400312	06-08	Greene County Middle
400315	09-13	Greene Early College High
400318	04-05	Greene County Intermediate
400332	02-03	West Greene Elementary
400LEA		Greene County Schools
410304	PK-05	Alamance Elementary
410307	PK-05	Alderman Elementary
410310	PK-05	Allen Jay Elementary
410313	06-08	Southern Guilford Middle
410316	06-08	Allen Middle
410319	09-12	Andrews High
410322	PK-05	Archer Elementary
410325	06-08	Aycock Middle
410326	09-12	Middle College at Bennett
410328	PK-05	Bessemer Elementary
410331	0K-05	Bluford Elementary
410334	PK-05	Brightwood Elementary
410337	0K-05	Brooks Global Studies
410340	PK-05	Monticello-Brown Summit Elementary
410341	06-08	Brown Summit Middle
410343	0K-05	Claxton Elementary
410346	PK-05	Colfax Elementary
410349	PK-05	Cone Elementary
410355	09-12	Dudley High
410358	09-12	Eastern Guilford High
410361	PK-05	Erwin Montessori
410364	PK-05	Fairview Elementary
410366	PK-05	Falkener Elementary
410367	06-08	Ferndale Middle
410370	0K-05	Florence Elementary
410373	PK-05	Foust Elementary
410376	PK-05	Frazier Elementary
410379	PK-12	Gateway Education Center
410382	PK-05	Gibsonville Elementary
410385	PK-05	Gillespie Park Elementary
410388	0K-05	General Greene Elementary
410390	11-12	GSO College Middle College
410391	06-12	Penn-Griffin School for the Arts
410394	09-12	Grimsley High
410395	09-12	The Early College at Guilford
410396	08-08	High School Ahead Academy
410397	06-08	Guilford Middle
410398	03-12	Doris Henderson Newcomers School
410399	09-13	Middle College at GTCC - GSO
410400	PK-05	Guilford Elementary
410401	09-13	Middle College at GTCC - Jamestown
410402	06-08	Hairston Middle
410403	PK-05	Hampton Elementary
410406	09-12	High Point Central High
410407	09-12	The Academy at HP Central
410408	09-13	Middle College at GTCC - High Point
410409	PK-05	Hunter Elementary
410412	PK-05	Irving Park Elementary
410415	06-08	Jackson Middle
410418	PK-05	Jamestown Elementary
410421	06-08	Jamestown Middle
410423	PK-05	Jefferson Elementary
410424	0K-05	Jesse Wharton Elementary
410427	0K-08	Johnson Street Global Studies
410430	PK-05	Jones Elementary
410436	PK-05	Joyner Elementary
410437	06-08	Kernodle Middle
410439	PK-05	Kirkman Park Elementary
410442	06-08	Kiser Middle
410448	04-08	The Academy at Lincoln
410451	PK-05	Lindley Elementary
410454	0K-05	Madison Elementary
410457	0K-12	McIver Education Center
410460	06-08	Eastern Guilford Middle
410461	PK-05	McLeansville Elementary
410462	PK-05	McNair Elementary
410463	06-08	Mendenhall Middle
410464	PK-12	Haynes- Inman Education Center
410466	PK-05	Millis Road Elementary
410469	PK-05	Montlieu Academy
410472	0K-05	Morehead Elementary
410478	0K-05	Murphey Traditional Academy
410481	0K-05	Nathanael Greene Elementary
410483	09-12	Middle College at NC A&T
410484	09-12	Northeast Guilford High
410486	0K-05	Northern Guilford Elementary
410487	06-08	Northeast Guilford Middle
410488	06-08	Northern Guilford Middle
410489	09-12	Northern Guilford High
410490	09-12	Northwest Guilford High
410491	0K-05	Pearce Elementary
410493	06-08	Northwest Guilford Middle
410496	PK-05	Northwood Elementary
410499	PK-05	Oak Hill Elementary
410502	PK-05	Oak Ridge Elementary
410505	PK-05	Oak View Elementary
410508	09-12	Page High
410511	PK-05	Parkview Village Elementary
410514	PK-05	Peck Elementary
410517	0K-05	Peeler Open Elementary
410522	PK-05	Pilot Elementary
410523	PK-05	Pleasant Garden Elementary
410529	09-12	Ragsdale High
410530	PK-05	Reedy Fork Elementary
410532	PK-05	Rankin Elementary
410533	06-12	SCALE - Greensboro
410534	06-12	Dean B Pruett SCALE Academy
410535	PK-05	Sedalia Elementary
410538	PK-05	Sedgefield Elementary
410541	PK-05	Shadybrook Elementary
410544	09-12	Smith High
410545	09-12	The Academy at Smith
410547	09-12	Southeast Guilford High
410550	06-08	Southeast Guilford Middle
410553	PK-05	Southern Guilford Elementary
410556	09-12	Southern Guilford High
410559	0K-05	Southwest Guilford Elementary
410562	09-12	Southwest Guilford High
410565	06-08	Southwest Guilford Middle
410568	PK-05	Sternberger Elementary
410569	09-09	STEM Early College at NC A&T
410571	PK-05	Stokesdale Elementary
410574	0K-05	Summerfield Elementary
410577	0K-05	Sumner Elementary
410578	PK-05	Triangle Lake Montessori
410579	09-10	Middle College at UNCG
410580	PK-05	Union Hill Elementary
410583	PK-05	Vandalia Elementary
410586	PK-05	Washington Montessori School
410589	09-12	Weaver Academy
410592	06-08	Welborn Academy
410595	09-12	Western Guilford High
410598	PK-05	Wiley Elementary
410LEA		Guilford County Schools
41B000	0K-08	Greensboro Academy
41C000	0K-08	Guilford Preparatory Academy
41D000	0K-05	Phoenix Academy
41F000	0K-11	Triad Math and Science Academy
41G000	0K-06	Cornerstone Academy
41H000	0K-04	College Prep and Leadership Academy
420304	PK-05	Aurelian Springs Elementary
420316	PK-05	Dawson Elementary
420324	06-08	Enfield Middle
420328	PK-05	Everetts Elementary
420336	PK-05	Hollister Elementary
420340	PK-05	Inborden Elementary
420346	09-12	Northwest High
420348	PK-05	Pittman Elementary
420356	PK-03	Scotland Neck Primary
420358	09-12	Southeast Halifax High
420376	06-08	William R Davie Middle
420LEA		Halifax County Schools
421304	PK-05	Belmont Elementary
421306	06-08	Chaloner Middle
421316	09-12	Roanoke Rapids High
421328	PK-05	William L Manning Elementary
421LEA		Roanoke Rapids City Schools
422310	09-13	Roanoke Valley Early College
422314	PK-04	Weldon Elementary
422315	09-12	Weldon High
422318	05-08	Weldon Middle
422LEA		Weldon City Schools
430308	03-05	Angier Elementary
430312	0K-05	Benhaven Elementary
430316	0K-05	Boone Trail Elementary
430320	0K-05	Buies Creek Elementary
430328	PK-05	Coats Elementary
430330	06-08	Coats-Erwin Middle
430332	06-08	Dunn Middle
430336	03-05	Erwin Elementary
430344	PK-03	Harnett Primary
430345	06-12	STAR Academy
430346	09-12	Harnett Central High
430347	06-08	Harnett Central Middle
430348	0K-05	Johnsonville Elementary
430349	0K-05	Highland Elementary
430352	0K-05	LaFayette Elementary
430358	PK-05	Lillington-Shawtown Elementary
430369	PK-05	Overhills Elementary
430370	06-08	Overhills Middle
430371	09-12	Overhills High
430376	PK-05	South Harnett Elementary
430378	09-12	Triton High
430380	04-05	Wayne Avenue Elem
430384	09-12	Western Harnett High
430386	06-08	Western Harnett Middle
430LEA		Harnett County Schools
440314	0K-05	Bethel Elementary
440318	06-08	Bethel Middle
440320	06-08	Canton Middle
440324	PK-05	Central Elementary
440326	09-12	Central Haywood High
440328	0K-05	Clyde Elementary
440332	0K-05	Riverbend Elementary
440346	09-13	Haywood Early College
440348	PK-05	Hazelwood Elementary
440349	PK-05	Jonathan Valley Elementary
440350	0K-05	Junaluska Elementary
440364	PK-05	Meadowbrook Elementary
440368	0K-05	North Canton Elementary
440378	09-12	Pisgah High
440390	09-12	Tuscola High
440396	06-08	Waynesville Middle
440LEA		Haywood County Schools
450301	06-08	Apple Valley Middle
450302	0K-05	Atkinson Elementary
450306	0K-05	Bruce Drysdale Elementary
450307	0K-05	Clear Creek Elementary
450308	0K-05	Dana Elementary
450316	09-12	East Henderson High
450322	0K-05	Edneyville Elementary
450324	0K-05	Etowah Elementary
450328	06-08	Flat Rock Middle
450332	0K-05	Fletcher Elementary
450333	0K-05	Hendersonville Elementary
450334	09-12	Hendersonville High
450335	06-08	Hendersonville Middle
450336	0K-05	Hillandale Elementary
450339	0K-05	Glenn C Marlow Elementary
450340	0K-05	Mills River Elementary
450341	09-12	North Henderson High
450342	06-08	Rugby Middle
450343	06-12	Balfour Education Center
450344	0K-05	Sugarloaf Elementary
450346	0K-05	Upward Elementary
450352	09-12	West Henderson High
450354	09-13	Henderson County Early College
450LEA		Henderson County Schools
45A000	0K-08	The Mountain Community Sch
460308	04-06	Ahoskie Elementary
460312	PK-03	Bearfield Primary
460318	07-08	Hertford County Middle
460320	09-12	Hertford County High
460322	09-13	Hertford Co Early College
460332	PK-06	Riverview Elementary
460340	09-12	CS Brown High
460LEA		Hertford County Schools
470310	PK-05	Don D Steed Elementary
470312	09-12	Hoke County High
470316	PK-05	J W McLauchlin Elementary
470320	06-08	West Hoke Middle
470328	PK-05	Scurlock Elementary
470330	PK-05	Hawk Eye Elementary
470332	06-08	East Hoke Middle
470336	PK-05	West Hoke Elementary
470340	PK-05	Rockfish Hoke Elementary
470342	06-12	J W Turlington
470346	PK-05	Upchurch Elementary
470441	PK-05	Sandy Grove Elementary
470443	09-13	SandHoke Early College High
470LEA		Hoke County Schools
480306	PK-05	Mattamuskeet Elementary
480316	PK-12	Ocracoke School
480318	06-13	Mattamuskeet Early College High
480LEA		Hyde County Schools
490308	06-08	Brawley Middle
490312	PK-05	Celeste Henkel Elementary
490316	PK-05	Central Elementary
490318	PK-05	Coddle Creek Elementary
490319	PK-05	Cloverleaf Elementary
490320	09-13	Collaborative College for Technology
490324	PK-05	Cool Spring Elementary
490326	PK-05	East Iredell Elementary
490327	06-08	East Iredell Middle
490332	PK-05	Harmony Elementary
490335	09-12	Lake Norman High
490336	PK-05	Lake Norman Elementary
490337	PK-05	Lakeshore Elementary
490338	06-08	Lakeshore Middle
490342	0K-12	Monticello School
490344	06-08	Mount Mourne School
490345	PK-05	N B Mills Elementary
490346	09-12	North Iredell High
490347	06-08	Northview School
490348	PK-05	Scotts Elementary
490349	06-08	North Iredell Middle
490350	0K-12	Pressly School
490352	06-08	Statesville Middle
490354	09-12	Statesville High
490355	09-13	Visual and Performing Arts Center
490356	PK-05	Sharon Elementary
490360	PK-05	Shepherd Elementary
490362	09-12	South Iredell High
490363	PK-05	Third Creek Elementary
490364	PK-05	Troutman Elementary
490366	06-08	Troutman Middle
490368	PK-05	Union Grove Elementary
490380	09-12	West Iredell High
490384	06-08	West Iredell Middle
490390	PK-05	Woodland Heights Elementary
490LEA		Iredell-Statesville Schools
491303	04-06	East Mooresville Intermediate
491306	04-06	Mooresville Intermediate
491308	07-08	Mooresville Middle
491312	09-12	Mooresville Senior High
491316	PK-03	Park View Elementary
491318	PK-03	Rocky River Elementary
491320	PK-03	South Elementary
491LEA		Mooresville Graded School District
49B000	0K-08	American Renaissance School
49D000	0K-08	Success Institute Charter
49E000	0K-12	Pine Lake Preparatory
500302	07-13	Blue Ridge Early College
500304	0K-08	Cullowhee Valley School
500314	0K-08	Fairview Elementary
500316	0K-06	Blue Ridge School
500323	09-13	Jackson Co Early College
500324	0K-12	Jackson Co Sch of Alternatives
500332	0K-08	Scotts Creek Elementary
500337	0K-08	Smokey Mountain Elementary
500340	09-12	Smoky Mountain High
500LEA		Jackson County Schools
50A000	0K-08	Summit Charter
510308	PK-04	Benson Elementary
510310	05-08	Benson Middle
510324	09-12	Clayton High
510326	0K-05	West Clayton Elementary
510327	09-12	Cleveland High
510328	PK-05	Cleveland Elementary
510329	06-08	Cleveland Middle
510330	PK-05	Cooper Elementary
510332	PK-05	Corinth-Holders Elementary
510333	09-12	Corinth Holders High
510334	PK-05	Dixon Road Elementary
510336	PK-05	East Clayton Elementary
510340	PK-05	Four Oaks Elementary
510342	06-08	Four Oaks Middle
510344	06-08	North Johnston Middle
510356	PK-05	Glendale-Kenly Elementary
510357	10-12	Johnston Co Middle College
510358	PK-05	McGee's Crossroads Elem
510359	06-08	McGee's Crossroads Middle
510360	PK-08	Meadow School
510364	06-08	Archer Lodge Middle
510367	09-13	Johnston Co Early College Academy
510368	09-12	North Johnston High
510372	0K-05	Micro-Pine Level Elementary
510373	PK-05	Powhatan Elementary
510374	PK-05	Princeton Elementary
510376	06-12	Princeton High
510377	PK-05	River Dell Elementary
510378	0K-05	Riverwood Elementary
510379	06-08	Riverwood Middle
510380	09-12	South Campus Community High
510381	06-08	South Campus Community Middle
510388	PK-05	Selma Elementary
510390	06-08	Selma Middle School
510396	PK-05	West Smithfield Elementary
510397	06-08	Smithfield Middle
510399	09-12	Smithfield-Selma High
510402	09-12	South Johnston High
510404	PK-05	South Smithfield Elementary
510406	09-12	West Johnston High
510408	0K-05	Wilson's Mills Elementary
510410	PK-05	Polenta Elementary
510412	06-08	Clayton Middle
510414	PK-05	West View Elementary
510LEA		Johnston County Schools
51A000	0K-11	Neuse Charter School
520304	PK-06	Pollocksville Elementary
520308	PK-06	Comfort Elementary
520320	09-12	Jones Senior High
520324	07-08	Jones Middle
520328	PK-06	Maysville Elementary
520336	PK-06	Trenton Elementary
520LEA		Jones County Schools
530302	0K-05	Benjamin T Bullock Elem
530306	06-12	Bragg Street Academy
530308	0K-05	Broadway Elementary
530312	0K-05	Deep River Elementary
530314	06-08	East Lee Middle
530316	PK-12	Floyd L Knight Children Center
530320	0K-05	Greenwood Elementary
530335	09-13	Lee Early College
530336	09-12	Lee County High
530340	0K-05	J Glenn Edwards Elementary
530341	06-08	SanLee Middle School
530343	09-12	Southern Lee High School
530346	0K-05	Tramway Elementary
530354	0K-05	J R Ingram Jr Elementary
530356	06-08	West Lee Middle
530358	PK-05	Warren Williams Elementary Alternative
530LEA		Lee County Schools
540304	0K-05	Banks Elementary
540308	PK-08	Contentnea-Savannah School
540312	06-08	E B Frink Middle
540315	09-12	Kinston High
540316	PK-05	LaGrange Elementary
540317	09-13	Lenoir County Early College High
540318	PK-12	Sampson School
540320	0K-05	Moss Hill Elementary
540324	09-12	North Lenoir High
540325	PK-05	Northeast Elementary
540326	0K-05	Northwest Elementary
540328	PK-05	Pink Hill Elementary
540330	06-08	Rochelle Middle
540336	09-12	South Lenoir High
540338	PK-05	Southeast Elementary
540340	0K-05	Southwood Elementary
540344	06-08	Woodington Middle
540LEA		Lenoir County Public Schools
54A000	0K-08	Children's Village Academy
54B000	0K-08	Kinston Charter Academy
550308	07-12	Asbury School
550312	0K-03	Battleground Elementary
550314	PK-05	Catawba Springs Elementary
550316	PK-03	GE Massey Elementary
550320	09-12	East Lincoln High
550322	06-08	East Lincoln Middle
550324	04-05	Kiser Intermediate
550328	PK-05	Iron Station Elementary
550332	09-12	Lincolnton High
550334	06-08	Lincolnton Middle
550336	PK-05	Love Memorial Elementary
550340	PK-05	Childers Elementary
550342	PK-05	North Brook Elementary
550344	09-12	North Lincoln High
550349	03-05	Pumpkin Center Intermediate
550350	06-08	North Lincoln Middle
550356	PK-05	Rock Springs Elementary
550360	PK-03	S Ray Lowder Elementary
550362	PK-05	St James Elementary
550364	0K-05	Union Elementary
550368	09-12	West Lincoln High
550372	06-08	West Lincoln Middle
550LEA		Lincoln County Schools
55A000	0K-12	Lincoln Charter School
560304	PK-04	Cartoogechaye Elementary
560316	0K-04	East Franklin Elementary
560320	09-12	Franklin High
560324	0K-12	Highlands School
560328	PK-04	Iotla Valley Elementary
560329	09-13	Macon Early College High School
560330	07-08	Macon Middle School
560331	05-06	Mountain View Intermediate
560332	0K-12	Nantahala School
560338	PK-04	South Macon Elementary
560350	06-12	Union Academy
560LEA		Macon County Schools
570306	0K-05	Brush Creek Elementary
570312	0K-05	Hot Springs Elementary
570316	0K-05	Laurel Elementary
570317	09-13	Madison Early College High
570318	09-12	Madison High
570319	06-08	Madison Middle
570320	0K-05	Mars Hill Elementary
570LEA		Madison County Schools
580312	03-05	E J Hayes Elementary
580316	PK-05	East End Elementary
580320	PK-05	Edna Andrews Elementary
580324	PK-05	Jamesville Elementary
580328	06-08	Jamesville Middle
580344	09-12	South Creek High
580350	06-08	South Creek Middle
580356	0K-05	Rodgers Elementary
580368	09-12	Riverside High
580372	06-08	Riverside Middle
580LEA		Martin County Schools
58B000	06-12	Bear Grass
590306	PK-08	Eastfield Global Magnet School
590310	07-09	East McDowell Junior High
590316	PK-06	Glenwood Elementary
590320	PK-06	Marion Elementary
590328	09-13	McDowell Early College
590330	09-12	McDowell High
590332	PK-06	Nebo Elementary
590336	PK-06	North Cove Elementary
590340	PK-06	Old Fort Elementary
590344	PK-06	Pleasant Gardens Elementary
590352	PK-06	West Marion Elementary
590356	07-09	West McDowell Junior High
590LEA		McDowell County Schools
600300	PK-05	Albemarle Road Elementary
600301	06-08	Albemarle Road Middle
600302	09-12	Ardrey Kell High
600305	06-08	J M Alexander Middle
600308	0K-05	Allenbrook Elementary
600311	PK-08	Ashley Park PreK-8 School
600312	09-12	William Amos Hough High
600313	06-08	Bailey Middle
600314	0K-05	Bain Elementary
600316	0K-05	Barringer Academic Center
600317	06-08	Whitewater Middle
600318	PK-05	Whitewater Academy
600319	PK-08	Berryhill School
600322	PK-05	Beverly Woods Elementary
600328	0K-05	Barnette Elementary
600329	0K-05	Briarwood Elementary
600333	06-08	Carmel Middle
600334	11-12	Cato Middle College High
600335	PK-05	Billingsville Elementary
600336	PK-06	Chantilly Montessori
600338	PK-05	Clear Creek Elementary
600341	06-10	Cochrane Collegiate Academy
600344	0K-08	Collinswood Language Academy
600345	06-08	Community House Middle
600346	0K-05	Cornelius Elementary
600349	0K-05	Cotswold Elementary
600351	06-08	Coulwood Middle
600352	PK-05	Crown Point Elementary
600353	06-08	Crestdale Middle
600357	0K-05	Davidson Elementary
600361	09-12	Butler High
600362	PK-05	David Cox Road Elementary
600364	0K-12	MG Davis Military & Global Lead Academy
600365	0K-05	Devonshire Elementary
600367	0K-05	Dilworth Elementary
600368	0K-05	First Ward Arts Elementary
600369	PK-05	Berewick Elementary
600374	PK-08	Druid Hills Academy
600377	09-12	East Mecklenburg High
600379	PK-05	Eastover Elementary
600381	06-08	Eastway Middle
600382	0K-05	Elizabeth Lane Elementary
600383	0K-05	Elon Park Elementary
600384	0K-05	Elizabeth Traditional Elementary
600385	0K-05	Endhaven Elementary
600386	06-12	Hawthorne High
600392	0K-05	Polo Ridge Elementary
600394	06-08	Francis Bradley Middle
600397	09-12	Garinger High
600398	PK-05	Greenway Park Elementary
600399	06-08	Alexander Graham Middle
600405	09-12	Harding University High
600406	0K-05	Hawk Ridge Elementary
600410	PK-05	Hickory Grove Elementary
600411	0K-05	Highland Creek Elementary
600412	0K-05	Hidden Valley Elementary
600413	PK-06	Highland Mill Montessori
600414	PK-05	Highland Renaissance Academy
600415	09-12	Hopewell High
600416	0K-05	Hornets Nest Elementary
600418	0K-05	Croft Community Elementary
600420	0K-05	Huntersville Elementary
600422	0K-05	Huntingtowne Farms Elementary
600424	PK-05	Idlewild Elementary
600426	09-12	Independence High
600428	06-08	James Martin Middle
600429	0K-08	John M. Morehead STEM Academy
600431	06-08	Jay M Robinson Middle
600432	PK-05	Joseph W Grier Academy
600433	0K-05	J.V. Washam Elementary
600434	06-08	Kennedy Middle
600436	PK-05	Lake Wylie Elementary
600437	0K-05	Ballantyne Elementary
600438	0K-05	Lansdowne Elementary
600439	04-12	Turning Point Academy
600440	PK-05	Lebanon Road Elementary
600442	PK-05	Blythe Elementary
600444	PK-05	Long Creek Elementary
600445	09-12	Mallard Creek High
600446	0K-05	Mallard Creek Elementary
600447	PK-05	Matthews Elementary
600448	06-08	Martin Luther King Jr Middle
600449	PK-05	McAlpine Elementary
600450	06-08	McClintock Middle
600451	0K-05	McKee Road Elementary
600453	PK-05	Merry Oaks Elementary
600454	SP-ED	Metro School
600455	06-08	Mint Hill Middle
600457	09-12	Rocky River High
600459	PK-05	Montclaire Elementary
600461	SP-ED	Lincoln Heights Academy
600462	PK-05	Mountain Island Elementary
600463	PK-05	River Oaks Academy
600464	0K-05	Myers Park Traditional
600466	09-12	Myers Park High
600468	PK-05	Nathaniel Alexander Elementary
600471	PK-05	Nations Ford Elementary
600474	0K-05	Newell Elementary
600478	0K-05	J H Gunn Elementary
600479	06-08	Northeast Middle
600480	09-12	North Mecklenburg High
600481	06-08	Northridge Middle
600482	06-12	Northwest School of the Arts
600485	0K-05	Oakdale Elementary
600488	0K-08	Oaklawn Language Academy
600489	PK-08	Bruns Academy
600491	0K-05	Olde Providence Elementary
600492	PK-06	Park Road Montessori
600494	PK-05	Paw Creek Elementary
600496	09-12	Phillip O Berry Academy of Technology
600497	06-08	Piedmont IB Middle
600498	09-12	Performance Learning Center
600500	0K-05	Pineville Elementary
600501	PK-05	Pinewood Elementary
600503	PK-05	Piney Grove Elementary
600507	0K-05	Providence Spring Elementary
600508	09-12	Providence High
600509	06-08	Quail Hollow Middle
600512	PK-05	Rama Road Elementary
600513	06-08	Randolph Middle
600514	06-08	Ranson Middle
600516	PK-05	Reedy Creek Elementary
600517	PK-08	Reid Park Academy
600518	06-08	Ridge Road Middle
600519	PK-05	Sedgefield Elementary
600520	06-08	Sedgefield Middle
600521	0K-05	Stoney Creek Elementary
600522	0K-05	Selwyn Elementary
600527	PK-05	Shamrock Gardens Elementary
600530	0K-05	Sharon Elementary
600532	0K-08	Waddell Language Academy
600534	PK-05	Smithfield Elementary
600535	09-12	South Mecklenburg High
600537	06-08	South Charlotte Middle
600538	06-08	Southwest Middle School
600546	PK-05	Statesville Road Elementary
600549	0K-05	Steele Creek Elementary
600550	PK-05	Sterling Elementary
600553	PK-08	Thomasboro Academy
600557	0K-05	Torrence Creek Elementary
600562	0K-05	Tuckaseegee Elementary
600565	0K-05	University Park Creative Arts
600566	PK-05	University Meadows Elementary
600571	0K-05	Irwin Academic Center
600574	PK-08	Walter G Byers School
600576	09-12	West Charlotte High
600577	PK-08	Westerly Hills Academy
600579	09-12	West Mecklenburg High
600586	PK-05	Winding Springs Elementary
600587	PK-05	Windsor Park Elementary
600588	0K-05	Winget Park Elementary
600589	PK-05	Winterfield Elementary
600590	0K-05	River Gate Elementary
600592	09-12	Vance High
600693	09-12	Olympic High - Renaissance School
600694	09-12	Olympic High-Math Eng Tech Science
600695	09-12	Olympic High - Intl Study & Global Econ
600696	09-12	Olympic High -Intl Bus & Comm Studies
600697	09-12	Olympic High - Biotech Health Pub Admin
600LEA		Charlotte-Mecklenburg Schools
60A000	0K-05	Community Charter School
60B000	0K-08	Sugar Creek Charter
60C000	0K-12	Kennedy Charter
60D000	05-12	Lake Norman Charter
60F000	0K-08	Metrolina Reg Scholars Academy
60G000	0K-12	Queens Grant Community
60H000	09-12	Crossroads Charter High
60I000	0K-11	Community School of Davidson
60J000	0K-08	Socrates Academy
60K000	06-08	Charlotte Secondary
60L000	05-08	KIPP Charlotte
60M000	0K-04	Corvian Community School
610302	05-08	Bowman Middle
610310	03-05	Deyton Elementary
610320	0K-04	Gouge Elementary
610326	06-08	Harris Middle
610332	09-12	Mayland Early College
610334	09-12	Mitchell High
610LEA		Mitchell County Schools
