37089,North Carolina,Henderson County,108266,52383,55883,48843,52126,43318,47667,90985,17281,No,15.96%,3513,3%,10786,9.96%
37091,North Carolina,Hertford County,24438,11977,12461,4572,4258,4207,4116,8323,16115,Yes,65.94%,14809,61%,749,3.06%
37093,North Carolina,Hoke County,50536,24817,25719,12842,12628,10400,10353,20753,29783,Yes,58.93%,17301,34%,6246,12.36%
37095,North Carolina,Hyde County,5859,3258,2601,2049,1846,1858,1644,3502,2357,No,40.23%,1836,31%,429,7.32%
37097,North Carolina,Iredell County,162708,80110,82598,67153,68370,62062,63583,125645,37063,No,22.78%,19949,12%,11368,6.99%
37099,North Carolina,Jackson County,40448,19966,20482,17104,17527,16190,16861,33051,7397,No,18.29%,823,2%,2015,4.98%
37101,North Carolina,Johnston County,174938,86019,88919,69930,71533,59085,62372,121457,53481,No,30.57%,27519,16%,22948,13.12%
37103,North Carolina,Jones County,10275,4935,5340,3275,3424,3082,3257,6339,3936,No,38.31%,3280,32%,429,4.18%
37105,North Carolina,Lee County,59715,29415,30300,22395,22654,16919,17877,34796,24919,No,41.73%,12127,20%,11610,19.44%
37107,North Carolina,Lenoir County,59227,28289,30938,16443,17049,14540,15593,30133,29094,No,49.12%,24233,41%,4036,6.81%
37109,North Carolina,Lincoln County,79313,39444,39869,36249,36606,33540,34204,67744,11569,No,14.59%,4649,6%,5513,6.95%
37111,North Carolina,McDowell County,44998,22498,22500,20805,21092,19671,20168,39839,5159,No,11.46%,1808,4%,2488,5.53%
37113,North Carolina,Macon County,33869,16422,17447,15658,16840,14595,15862,30457,3412,No,10.07%,563,2%,2235,6.60%
37115,North Carolina,Madison County,20742,10261,10481,9864,10148,9637,9960,19597,1145,No,5.52%,289,1%,459,2.21%
37117,North Carolina,Martin County,23961,11224,12737,6303,6741,5926,6484,12410,11551,No,48.21%,10467,44%,816,3.41%
37119,North Carolina,Mecklenburg County,969031,467859,501172,288201,294349,235627,246550,482177,486854,Yes,50.24%,307802,32%,121495,12.54%
37121,North Carolina,Mitchell County,15368,7545,7823,7305,7598,6989,7374,14363,1005,No,6.54%,83,1%,689,4.48%
37123,North Carolina,Montgomery County,27668,13385,14283,10478,10913,8541,9176,17717,9951,No,35.97%,5270,19%,4044,14.62%
